statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2013;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;WASVB4;Art der Einleitung von Abwasser;WASVB4001;öffentl. Kanalisation / Abwasserbehandlungsanlage;4027;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2013;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;WASVB4;Art der Einleitung von Abwasser;WASVB4003;andere Betriebe;2425;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;WASVB4;Art der Einleitung von Abwasser;WASVB4003;andere Betriebe;.;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;WASVB4;Art der Einleitung von Abwasser;WASVB4001;öffentl. Kanalisation / Abwasserbehandlungsanlage;.;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2022;KREISE;Kreise und kreisfreie Städte;12061;Dahme-Spreewald, Landkreis;WASVB4;Art der Einleitung von Abwasser;;Insgesamt;2202;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;WASVB4;Art der Einleitung von Abwasser;WASVB4003;andere Betriebe;-;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;06534;Marburg-Biedenkopf, Landkreis;WASVB4;Art der Einleitung von Abwasser;WASVB4001;öffentl. Kanalisation / Abwasserbehandlungsanlage;641;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;WASVB4;Art der Einleitung von Abwasser;WASVB4001;öffentl. Kanalisation / Abwasserbehandlungsanlage;109;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;WASVB4;Art der Einleitung von Abwasser;;Insgesamt;965;1000 cbm;WASNW3;Abwasser
32221;Erhebung der nichtöffentlichen Wasserversorgung und Abwasserentsorgung;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;WASVB4;Art der Einleitung von Abwasser;;Insgesamt;1364;1000 cbm;WASNW3;Abwasser
