* Der Benutzer DE80CY1631 der Benutzergruppe DEGROUP hat am 24.07.2026 um 20:54:36 diesen Export angestossen.
K;DQ;FACH-SCHL;"nur Werte"
D;12411KJ002
K;DQ-ERH;FACH-SCHL
D;12411
K;DQA;NAME
D;KREISE
K;DQZ;NAME
D;STAG
K;DQI;NAME;ME-NAME;DST;TYP;NKM-STELLEN
D;BEVSTD;Anzahl;GANZ;FALL;0
K;QEI;FACH-SCHL;ZI-WERT;WERT;QUALITAET
D;03158;31.12.2023;118540;e
D;03159;31.12.2018;328074;e
D;03159;31.12.2019;326041;e
D;03159;31.12.2020;323900;e
D;03159;31.12.2021;323661;e
D;03159;31.12.2022;328039;e
D;03159;31.12.2023;328657;e
D;03241;31.12.2018;1157624;e
D;03241;31.12.2019;1157115;e
D;03241;31.12.2020;1155330;e
D;03241;31.12.2021;1157541;e
D;03241;31.12.2022;1134284;e
D;03241;31.12.2023;1138943;e
D;03251;31.12.2018;216886;e
D;03251;31.12.2019;217089;e
D;03251;31.12.2020;218072;e
D;03251;31.12.2021;218839;e
D;03251;31.12.2022;219641;e
D;03251;31.12.2023;220743;e
D;03252;31.12.2018;148559;e
D;03252;31.12.2019;148549;e
D;03252;31.12.2020;148580;e
D;03252;31.12.2021;148963;e
D;03252;31.12.2022;150717;e
D;03252;31.12.2023;150535;e
D;03254;31.12.2018;276594;e
D;03254;31.12.2019;275817;e
D;03254;31.12.2020;275464;e
D;03254;31.12.2021;274773;e
D;03254;31.12.2022;268062;e
D;03254;31.12.2023;268318;e
D;03255;31.12.2018;70975;e
D;03255;31.12.2019;70458;e
D;03255;31.12.2020;70207;e
D;03255;31.12.2021;69862;e
D;03255;31.12.2022;66288;e
D;03255;31.12.2023;66088;e
D;03256;31.12.2018;121386;e
D;03256;31.12.2019;121390;e
D;03256;31.12.2020;121645;e
D;03256;31.12.2021;121773;e
D;03256;31.12.2022;121295;e
D;03256;31.12.2023;121723;e
D;03257;31.12.2018;157781;e
D;03257;31.12.2019;157820;e
D;03257;31.12.2020;158406;e
D;03257;31.12.2021;158108;e
D;03257;31.12.2022;156747;e
D;03257;31.12.2023;157051;e
D;03351;31.12.2018;178936;e
D;03351;31.12.2019;179011;e
D;03351;31.12.2020;179386;e
D;03351;31.12.2021;179915;e
D;03351;31.12.2022;172477;e
D;03351;31.12.2023;172871;e
D;03352;31.12.2018;198213;e
D;03352;31.12.2019;198038;e
D;03352;31.12.2020;198826;e
D;03352;31.12.2021;199603;e
D;03352;31.12.2022;198898;e
D;03352;31.12.2023;199390;e
D;03353;31.12.2018;252776;e
D;03353;31.12.2019;254431;e
D;03353;31.12.2020;256016;e
D;03353;31.12.2021;257548;e
D;03353;31.12.2022;262954;e
D;03353;31.12.2023;264767;e
D;03354;31.12.2018;48424;e
D;03354;31.12.2019;48412;e
D;03354;31.12.2020;48503;e
D;03354;31.12.2021;48472;e
D;03354;31.12.2022;46791;e
D;03354;31.12.2023;46815;e
D;03355;31.12.2018;183372;e
D;03355;31.12.2019;184139;e
D;03355;31.12.2020;184235;e
D;03355;31.12.2021;185129;e
D;03355;31.12.2022;178099;e
D;03355;31.12.2023;179403;e
D;03356;31.12.2018;113517;e
D;03356;31.12.2019;113928;e
D;03356;31.12.2020;114640;e
D;03356;31.12.2021;115054;e
D;03356;31.12.2022;113800;e
D;03356;31.12.2023;113784;e
D;03357;31.12.2018;163455;e
D;03357;31.12.2019;163782;e
D;03357;31.12.2020;164486;e
D;03357;31.12.2021;165001;e
D;03357;31.12.2022;164657;e
D;03357;31.12.2023;165561;e
D;03358;31.12.2018;139755;e
D;03358;31.12.2019;140673;e
D;03358;31.12.2020;140885;e
D;03358;31.12.2021;142912;e
D;03358;31.12.2022;143728;e
D;03358;31.12.2023;141627;e
D;03359;31.12.2018;203102;e
D;03359;31.12.2019;204512;e
D;03359;31.12.2020;205357;e
D;03359;31.12.2021;206496;e
D;03359;31.12.2022;206375;e
D;03359;31.12.2023;207659;e
D;03360;31.12.2018;92572;e
D;03360;31.12.2019;92389;e
D;03360;31.12.2020;92566;e
D;03360;31.12.2021;92894;e
D;03360;31.12.2022;91059;e
D;03360;31.12.2023;91832;e
D;03361;31.12.2018;136792;e
D;03361;31.12.2019;137133;e
D;03361;31.12.2020;137574;e
D;03361;31.12.2021;138507;e
D;03361;31.12.2022;137793;e
D;03361;31.12.2023;138273;e
D;03401;31.12.2018;77607;e
D;03401;31.12.2019;77559;e
D;03401;31.12.2020;77503;e
D;03401;31.12.2021;77522;e
D;03401;31.12.2022;81148;e
D;03401;31.12.2023;81746;e
D;03402;31.12.2018;50195;e
D;03402;31.12.2019;49913;e
D;03402;31.12.2020;49874;e
D;03402;31.12.2021;49523;e
D;03402;31.12.2022;49563;e
D;03402;31.12.2023;49701;e
D;03403;31.12.2018;168210;e
D;03403;31.12.2019;169077;e
D;03403;31.12.2020;169605;e
D;03403;31.12.2021;170389;e
D;03403;31.12.2022;174445;e
D;03403;31.12.2023;176242;e
D;03404;31.12.2018;164748;e
D;03404;31.12.2019;165251;e
D;03404;31.12.2020;164223;e
D;03404;31.12.2021;165034;e
D;03404;31.12.2022;165741;e
D;03404;31.12.2023;165686;e
D;03405;31.12.2018;76278;e
D;03405;31.12.2019;76089;e
D;03405;31.12.2020;75189;e
D;03405;31.12.2021;75027;e
D;03405;31.12.2022;75860;e
D;03405;31.12.2023;76010;e
D;03451;31.12.2018;124071;e
D;03451;31.12.2019;124859;e
D;03451;31.12.2020;125643;e
D;03451;31.12.2021;126475;e
D;03451;31.12.2022;126390;e
D;03451;31.12.2023;127292;e
D;03452;31.12.2018;189848;e
D;03452;31.12.2019;189694;e
D;03452;31.12.2020;190178;e
D;03452;31.12.2021;190425;e
D;03452;31.12.2022;188402;e
D;03452;31.12.2023;188960;e
D;03453;31.12.2018;169348;e
D;03453;31.12.2019;170682;e
D;03453;31.12.2020;172632;e
D;03453;31.12.2021;173980;e
D;03453;31.12.2022;175549;e
D;03453;31.12.2023;176540;e
D;03454;31.12.2018;325657;e
D;03454;31.12.2019;326954;e
D;03454;31.12.2020;328930;e
D;03454;31.12.2021;331397;e
D;03454;31.12.2022;331711;e
D;03454;31.12.2023;334203;e
D;03455;31.12.2018;98460;e
D;03455;31.12.2019;98704;e
D;03455;31.12.2020;98971;e
D;03455;31.12.2021;98971;e
D;03455;31.12.2022;100089;e
D;03455;31.12.2023;100461;e
D;03456;31.12.2018;136511;e
D;03456;31.12.2019;137162;e
D;03456;31.12.2020;137891;e
D;03456;31.12.2021;138722;e
D;03456;31.12.2022;143472;e
D;03456;31.12.2023;144212;e
D;03457;31.12.2018;169809;e
D;03457;31.12.2019;170756;e
D;03457;31.12.2020;171483;e
D;03457;31.12.2021;172421;e
D;03457;31.12.2022;169390;e
D;03457;31.12.2023;169111;e
D;03458;31.12.2018;130144;e
D;03458;31.12.2019;130890;e
D;03458;31.12.2020;131467;e
D;03458;31.12.2021;132091;e
