statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;5356420;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;22621;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;2156505;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;21339;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;2215639;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;22082;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;2878851;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;26952;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2022;KREISE;Kreise und kreisfreie Städte;06532;Lahn-Dill-Kreis;6468886;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2022;KREISE;Kreise und kreisfreie Städte;06532;Lahn-Dill-Kreis;25336;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;7110573;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;25443;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2021;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;4233736;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2021;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;24540;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;4144581;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;24097;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;5658610;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;21243;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;4230444;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;23410;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;1995985;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;16958;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;3732946;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;18509;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;6580211;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;27314;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;2707929;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;17733;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;4945922;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;23321;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2013;KREISE;Kreise und kreisfreie Städte;12064;Märkisch-Oderland, Landkreis;3464353;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2013;KREISE;Kreise und kreisfreie Städte;12064;Märkisch-Oderland, Landkreis;18497;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2014;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;2972992;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2014;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;19225;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;3090925;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;17220;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;2277241;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;20553;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;3376966;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;21080;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;4304392;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;20686;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2014;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;3311549;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2014;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;18674;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2015;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;2070020;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2015;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;18372;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;3388850;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;19860;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;4754473;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;18913;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;2398151;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;22025;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;4653730;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;25170;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2015;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;4531608;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2015;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;24747;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2014;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;2238314;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2014;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;21102;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2013;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;4957057;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
82000;VGR der Länder;JAHR;Jahr;2013;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;19560;EUR/EW;EKM014;verfüg. Einkommen der priv. Haushalte je Einwohnerin bzw. Einwohner
82000;VGR der Länder;JAHR;Jahr;2021;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;2411283;Tsd. EUR;EKM006;verfügbares Einkommen der privaten Haushalte
