statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;6931763;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;29274;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2017;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;70343;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;2596897;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;25697;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2018;KREISE;Kreise und kreisfreie Städte;06636;Werra-Meißner-Kreis;60917;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;3610211;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;33799;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;77089;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2022;KREISE;Kreise und kreisfreie Städte;06532;Lahn-Dill-Kreis;10028574;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2022;KREISE;Kreise und kreisfreie Städte;06532;Lahn-Dill-Kreis;39277;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2022;KREISE;Kreise und kreisfreie Städte;06532;Lahn-Dill-Kreis;78003;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;5489669;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;31917;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;06533;Limburg-Weilburg, Landkreis;68562;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;4076496;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;22558;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;64725;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;2783803;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;23651;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2011;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;55943;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;8949547;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;37149;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2023;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;88159;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;12061;Dahme-Spreewald, Landkreis;5122744;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;12061;Dahme-Spreewald, Landkreis;31975;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2012;KREISE;Kreise und kreisfreie Städte;12061;Dahme-Spreewald, Landkreis;71171;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;2315676;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;15165;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12063;Havelland, Landkreis;39994;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;5896418;Tsd. EUR;BIP802;Bruttoinlandsprodukt
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;27803;EUR;BIP804;Bruttoinlandsprodukt pro Kopf
82000;VGR der Länder;JAHR;Jahr;2019;KREISE;Kreise und kreisfreie Städte;12065;Oberhavel, Landkreis;73973;EUR;BIP803;Bruttoinlandsprodukt je erwerbstätige Person
