statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;515;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06531;Gießen, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;12038;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-21;Ackerland insgesamt;163;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-21;Ackerland insgesamt;30064;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;1022;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06535;Vogelsbergkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;33019;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;BNZAT6;Bodennutzungsarten;BNZAT-22;Dauerkulturen;347;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2016;KREISE;Kreise und kreisfreie Städte;06439;Rheingau-Taunus-Kreis;BNZAT6;Bodennutzungsarten;BNZAT-22;Dauerkulturen;2758;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12064;Märkisch-Oderland, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-21;Ackerland insgesamt;396;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12064;Märkisch-Oderland, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-21;Ackerland insgesamt;118719;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;742;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2020;KREISE;Kreise und kreisfreie Städte;06633;Kassel, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;11794;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-22;Dauerkulturen;17;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12067;Oder-Spree, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-22;Dauerkulturen;153;ha;FLC004;Fläche
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;171;Anzahl;BTR010;Landwirtschaftliche Betriebe
41141;Agrarstrukturerhebung / Landwirtschaftszählung;JAHR;Jahr;2010;KREISE;Kreise und kreisfreie Städte;12066;Oberspreewald-Lausitz, Landkreis;BNZAT6;Bodennutzungsarten;BNZAT-23;Dauergrünland;6824;ha;FLC004;Fläche
